commitee_id,firstname,lastname,district,state
C00655571,Yvette,Herrell,,NM,NEW MEXICO FREEDOM FUND,,,
C00544445,Jody,Hice,,GA,"FREEDOM PAC, INC.",,,
C00617662,Clay,Higgins,,LA,REDEMPTION PAC,,,
C00504522,Richard,Hudson,,NC,FIRST IN FREEDOM PAC,,,
C00721332,Darrell,Issa,,CA,INVEST IN A STRONG AND SECURE AMERICA,,,
C00730531,Ronny,Jackson,,TX,TEXAS RED,,,
C00706788,Chris,Jacobs,,NY,NIAGARA FRONTIER PAC,,,
C00608695,Mike,Johnson,,LA,AMERICAN REVIVAL PAC,HOUSE CONSERVATIVES FUND,,
C00476820,Bill,Johnson,,OH,BELIEF IN LIFE AND LIBERTY POLITICAL ACTION COMMITTEE (BILL'S PAC),,,
C00416594,Jim,Jordan,,OH,HOUSE LIBERTY FUND,BUCKEYE LIBERTY PAC,HOUSE FREEDOM FUND,BUCKEYE LIBERTY POLITICAL ACTION COMMITTEE
C00674259,John,Joyce,,PA,RE-JOYCE PAC,,,
C00697052,Fred,Keller,,PA,FREEDOM RINGS EVERY DAY PAC,,,
C00573980,Trent,Kelly,,MS,SOUTHERN STATES PAC,TRENT'S TROOPS PAC,,
C00474189,Mike,Kelly,,PA,,,,
C00614826,David,Kustoff,,TN,DAVID PAC DELIVERING AMERICAN VALUES IN DC,,,
C00509422,Doug,LaMalfa,,CA,NORCAL WATER JOBS LIBERTY PAC,,,
C00420745,Doug,Lamborn,,CO,DOUGLASPAC-DOING OUR UTMOST FOR GOD LIBERTY AND SECURITY,,,
C00718346,Jacob,LaTurner,,KS,KANSAS VICTORY PAC,,,
C00663914,Debbie,Lesko,,AZ,DELIVER. EXCEL. BELIEVE. PAC,,,
C00460063,Billy,Long,,MO,BELIEVE IN LIFE LIBERTY YOURSELF (BILLY PAC),,,
C00543892,Barry,Loudermilk,,GA,STAND PAC,,,
C00287912,Frank,Lucas,,OK,FUNDING DEVELOPING LEADERSHIP POLITICAL ACTION COMMITTEE AKA FDL PAC,,,
C00458679,Blaine,Luetkemeyer,,MO,BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC,,,
C00694778,Nicole,Malliotakis,,NY,NO NONSENSE PAC,,,
C00460659,Tracey,Mann,,KS,GREAT PLAINS PAC,,,
C00632257,Brian,Mast,,FL,VALOR PAC,,,
C00420935,Kevin,McCarthy,,CA,MAJORITY COMMITTEE PAC--MC PAC,,,
C00726042,Lisa,McClain,,MI,MICHIGAN VALUES PAC,,,
C00654723,Daniel,Meuser,,PA,DAN-PAFIRST PAC,,,
C00723916,Mary,Miller,,IL,MAKE AMERICA REPUBLICAN YESTERDAY,,,
C00653220,Carol,Miller,,WV,CUT THE BULL PAC,,,
C00768705,Alex,Mooney,,WV,AMERICANS FOR LEGISLATING EXCELLENCE PAC,AMERICANS FOR LEGISLATIVE EXCELLENCE PAC,,
C00720375,Barry,Moore,,AL,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY,,,
C00498345,Markwayne,Mullin,,OK,BOOTS POLITICAL ACTION COMMITTEE,,,
C00697649,Gregory,Murphy,,NC,VICTORY EAST,,,
C00730150,Troy,Nehls,,TX,NOW ELECTING HONEST LEADERSHIP AND SERVICE PAC,,,
C00633610,Ralph,Norman,,SC,CONSERVATIVE OPPORTUNITY FUND,"RESTORING AMERICA'S LIBERTY, PROSPERITY, & HONOR PAC",,
C00370056,Devin,Nunes,,CA,N/A,,,
C00720078,Jay,Obernolte,,CA,JOBS AND THE ECONOMY PAC,,,
C00725853,Burgess,Owens,,UT,JUST WIN BABY,,,
C00477323,Steven,Palazzo,,MS,PATRIOT POLITICAL ACTION COMMITTEE,,,
C00551374,Gary,Palmer,,AL,ACT RIGHT AMERICA,CONSERVATIVE PROMISES PAC,,
C00658401,Greg,Pence,,IN,MUSTANG PAC,,,
C00510164,Scott,Perry,,PA,FIRST CAPITAL PAC,,,
C00719294,August,Pfluger,,TX,RAPTOR PAC,,,
C00444968,Bill,Posey,,FL,ACCOUNTABILITY PAC,,,
C00657833,Guy,Reschenthaler,,PA,RVFPAC,,,
C00506048,Tom,Rice,,SC,REPUBLICANS IN CONGRESS EMPOWERING AMERICA,,,
C00367862,Mike,Rogers,,AL,AMERICAN SECURITY PAC,,,
C00116632,Hal,Rogers,,KY,HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE (HALPAC),,,
C00652743,John,Rose,,TN,REPUBLICANS OFFERING SOLUTIONS FOR EVERYONE PAC,,,
C00548289,Matt,Rosendale,,MT,406 PAC,,,
C00501643,David,Rouzer,,NC,DECIDING CRITICAL RACES PAC (DCR PAC),,,
C00615294,John,Rutherford,,FL,STRENGTHENING THE AMERICAN REPUBLIC (STAR) PAC,,,
C00394957,Steve,Scalise,,LA,THE EYE OF THE TIGER POLITICAL ACTION COMMITTEE,,,
C00540617,David,Schweikert,,AZ,DEFENDING AMERICA'S VALUES EVERYWHERE (TEAM DAVE),,,
C00303305,Pete,Sessions,,TX,N/A,,,
C00541862,Jason,Smith,,MO,MR. SOUTHERN MISSOURIAN IN THE HOUSE PAC,,,
C00412890,Adrian,Smith,,NE,CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC),,,
C00599464,Lloyd,Smucker,,PA,JAM PAC,,,
C00547893,Elise,Stefanik,,NY,E-PAC,,,
C00671891,Greg,Steube,,FL,GETTING REPUBLICANS ELECTED FOR GENERATIONS PAC (GREG PAC),,,
C00506931,Chris,Stewart,,UT,FREEDOM 21: FIGHTING FOR FREEDOM IN THE 21ST CENTURY,,,
C00444620,Glenn,Thompson,,PA,GREATER TOMORROW POLITICAL ACTION COMMITTEE,,,
C00718635,Tom,Tiffany,,WI,DAM MAN PAC,,,
C00668491,William,Timmons,,SC,UPSTATE SC PAC,,,
C00661868,Jefferson Van,Drew,,NJ,SOUTH JERSEY UNITED IN TRUST (SJUIT) PAC,,,
C00714865,Beth Van,Duyne,,TX,BE VICTORIOUS OVER DEMOCRATS PAC,,,
C00390724,Tim,Walberg,,MI,TRUTH IS MARKETS WORK FUND A/K/A TIM W FUND,,,
C00468579,Jackie,Walorski,,IN,JUMP INTO ACTION FOR CONSERVATIVES TO KEEP OUR IDEAS ELEVATED PAC,,,
C00502229,Randy,Weber,,TX,BUILDING AMERICAN CONSERVATISM PAC AKA GO BY BAC PAC,,,
C00481911,Daniel,Webster,,FL,COOL PAC,,,
C00498121,Roger,Williams,,TX,PATRIOTS IN ACTION,,,
C00368522,Joe,Wilson,,SC,SPEAK UP AMERICA POLITICAL ACTION COMMITTEE,,,
C00441014,Rob,Wittman,,VA,AMERICA'S FIRST PAC,,,
C00662171,Ron,Wright,,TX,REPUBLICANS OFFER NEW SOLUTIONS PAC,,,
C00552547,Lee,Zeldin,,NY,LEE PAC,,,
